ID;Calidad;Tipo;Main Stat;Substat1;Substat2;Substat3;Substat4
3;Legendario;Movimiento de bloqueo;Saque;Saque;Ataque poderoso;Recepción;Recuperación
4;Legendario;Recepción de asistencia;Saque;Bloqueo;Saque;Ataque poderoso;Colocación
5;Legendario;Saque preciso;Colocación;Recepción;Saque;Ataque poderoso;Ataque rápido
8;Legendario;Incremento de poder;Percepción;Ataque rápido;Recepción;Espíritu;Colocación
10;Legendario;Ataque veloz;Ataque rápido;Ataque poderoso;Recepción;Técnica ofensiva;Bloqueo
11;Legendario;Ataque veloz;Saque;Ataque rápido;Recepción;Recuperación;Ataque poderoso
14;Legendario;Ataque veloz;Fuerza;Técnica defensiva;Ataque rápido;Ataque rápido;Colocación
15;Legendario;Sentido agudo;Saque;Reflejos;Bloqueo;Recuperación;Saque
16;Legendario;Sentido agudo;Ataque rápido;Recuperación;Colocación;Ataque rápido;
17;Legendario;Sentido agudo;Ataque rápido;Espíritu;Recepción;Saque;
18;Legendario;Sentido agudo;Saque;Recepción;Colocación;Recepción;
19;Legendario;Sentido agudo;Ataque rápido;Colocación;Técnica defensiva;Ataque poderoso;Colocación
21;Legendario;Bloque preciso;Colocación;Recuperación;Bloqueo;Colocación;
22;Legendario;Recepción de asistencia;Ataque rápido;Saque;Reflejos;Colocación;
23;Legendario;Recepción de asistencia;Ataque poderoso;Colocación;Bloqueo;Ataque rápido;
24;Legendario;Recepción de asistencia;Percepción;Espíritu;Colocación;Colocación;
25;Legendario;Recepción de asistencia;Ataque rápido;Ataque rápido;Reflejos;Colocación;Ataque poderoso
26;Legendario;Recepción suprema;Saque;Saque;Ataque poderoso;Bloqueo;
27;Legendario;Opt. de percepción;Percepción;Recuperación;Recuperación;;
28;Legendario;Finta de colocador;Ataque poderoso;Saque;Percepción;Colocación;
29;Legendario;Finta de colocador;Ataque rápido;Recepción;Saque;Técnica defensiva;Ataque poderoso
30;Épico;Saque preciso;Saque;Saque;Colocación;Fuerza;Bloqueo
