ID;Calidad;Tipo;Main Stat;Substat1;Substat2;Substat3;Substat4
8;Épico;Poder vibrante;Recepción;Recepción;Fuerza;;
9;Épico;Poder vibrante;Recuperación;Ataque poderoso;Saque;Técnica ofensiva;Recuperación
12;Épico;Poder vibrante;Recepción;Percepción;Saque;;
15;Épico;Incremento de poder;Espíritu;Ataque poderoso;Ataque rápido;Saque;
17;Épico;Incremento de poder;Recepción;Recepción;Ataque poderoso;Saque;Espíritu
29;Legendario;Saque preciso;Recepción;Saque;Ataque poderoso;Recuperación;Colocación
30;Legendario;Saque preciso;Espíritu;Ataque rápido;Ataque poderoso;Técnica ofensiva;Colocación
34;Épico;Pase preciso;Reflejos;Fuerza;Saque;Saque;Colocación
54;Épico;Pase preciso;Recepción;Ataque poderoso;Bloqueo;Saque;
70;Épico;Poder vibrante;Recepción;Recepción;Recepción;;
71;Legendario;Sentido agudo;Recepción;Bloqueo;Recuperación;Bloqueo;Espíritu
72;Legendario;Ataque veloz;Reflejos;Bloqueo;Colocación;Recuperación;
75;Legendario;Sentido agudo;Bloqueo;Bloqueo;Ataque rápido;Bloqueo;
76;Legendario;Sentido agudo;Bloqueo;Ataque rápido;Reflejos;Colocación;
77;Legendario;Sentido agudo;Recepción;Recuperación;Recuperación;Técnica defensiva;Ataque rápido
81;Épico;Ataque veloz;Bloqueo;Ataque rápido;Colocación;;
91;Épico;Ataque veloz;Bloqueo;Fuerza;Bloqueo;;
101;Épico;Sentido agudo;Recepción;Bloqueo;Ataque rápido;Ataque rápido;
103;Legendario;Movimiento de bloqueo;Recuperación;Ataque rápido;Ataque rápido;Recuperación;
104;Legendario;Movimiento de bloqueo;Recuperación;Ataque rápido;Recuperación;Bloqueo;Colocación
113;Épico;Bloque preciso;Bloqueo;Ataque rápido;Bloqueo;Reflejos;Bloqueo
118;Épico;Bloque preciso;Reflejos;Bloqueo;Colocación;Bloqueo;
132;Épico;Movimiento de bloqueo;Bloqueo;Bloqueo;Fuerza;Ataque poderoso;
133;Legendario;Recepción suprema;Bloqueo;Ataque poderoso;Ataque rápido;Colocación;Ataque rápido
134;Legendario;Recepción de asistencia;Recuperación;Ataque rápido;Recepción;Ataque rápido;Bloqueo
