ID;Calidad;Tipo;Main Stat;Substat1;Substat2;Substat3;Substat4
1;Legendario;Pase preciso;Colocación;Recepción;Saque;Ataque rápido;Fuerza
2;Legendario;Poder vibrante;Ataque poderoso;Recepción;Ataque rápido;Recepción;Técnica ofensiva
3;Legendario;Poder vibrante;Ataque poderoso;Ataque poderoso;Ataque rápido;Recepción;Recuperación
4;Legendario;Incremento de poder;Ataque poderoso;Bloqueo;Saque;Saque;Fuerza
5;Legendario;Bloque preciso;Bloqueo;Bloqueo;Colocación;Ataque rápido;Ataque rápido
6;Legendario;Opt. de percepción;Ataque rápido;Ataque poderoso;Recepción;Percepción;Saque
7;Legendario;Opt. de percepción;Ataque rápido;Recuperación;Saque;Recuperación;
8;Legendario;Guardia contundente;Bloqueo;Bloqueo;Colocación;Saque;
9;Legendario;Pase preciso;Colocación;Ataque rápido;Fuerza;Recuperación;
10;Legendario;Pase preciso;Colocación;Ataque poderoso;Colocación;Técnica ofensiva;
11;Legendario;Poder vibrante;Ataque poderoso;Recuperación;Percepción;Bloqueo;Ataque rápido
12;Legendario;Poder vibrante;Ataque poderoso;Recuperación;Saque;Técnica defensiva;
13;Legendario;Incremento de poder;Ataque poderoso;Ataque rápido;Espíritu;Saque;
14;Legendario;Incremento de poder;Ataque poderoso;Recuperación;Colocación;Bloqueo;
15;Legendario;Incremento de poder;Ataque poderoso;Saque;Bloqueo;Espíritu;
16;Legendario;Ataque veloz;Ataque rápido;Reflejos;Saque;Fuerza;Recuperación
17;Legendario;Sentido agudo;Ataque rápido;Técnica ofensiva;Ataque poderoso;Recuperación;Bloqueo
18;Legendario;Sentido agudo;Ataque rápido;Percepción;Saque;Recepción;
19;Legendario;Sentido agudo;Ataque rápido;Bloqueo;Saque;Ataque rápido;
20;Legendario;Bloque preciso;Bloqueo;Saque;Bloqueo;Ataque poderoso;
21;Legendario;Bloque preciso;Bloqueo;Fuerza;Colocación;Saque;
22;Legendario;Bloque preciso;Bloqueo;Bloqueo;Espíritu;Recepción;
23;Legendario;Bloque preciso;Bloqueo;Recuperación;Ataque rápido;Colocación;
24;Legendario;Bloque preciso;Bloqueo;Recepción;Bloqueo;Recuperación;
25;Legendario;Bloque preciso;Bloqueo;Ataque poderoso;Saque;Colocación;
26;Legendario;Movimiento de bloqueo;Bloqueo;Saque;Bloqueo;Ataque rápido;
27;Legendario;Recepción de asistencia;Recepción;Fuerza;Saque;Recepción;Recepción
28;Legendario;Recepción de asistencia;Recepción;Ataque poderoso;Ataque poderoso;Bloqueo;Espíritu
29;Legendario;Recepción de asistencia;Recepción;Colocación;Técnica ofensiva;Colocación;
30;Legendario;Recepción suprema;Recepción;Colocación;Fuerza;Recepción;Ataque rápido
31;Legendario;Recepción suprema;Recepción;Ataque poderoso;Bloqueo;Técnica ofensiva;
33;Legendario;Guardia contundente;Bloqueo;Bloqueo;Ataque poderoso;Colocación;Recuperación
34;Legendario;Opt. de estado;Ataque poderoso;Saque;Reflejos;Recepción;
35;Legendario;Opt. de estado;Ataque poderoso;Ataque poderoso;Bloqueo;Espíritu;
36;Épico;Ataque veloz;Ataque rápido;Ataque rápido;Percepción;Saque;Recepción
37;Épico;Opt. de percepción;Ataque rápido;Recuperación;Ataque rápido;Ataque poderoso;
38;Épico;Opt. de percepción;Ataque rápido;Colocación;Recuperación;;
39;Épico;Opt. de percepción;Ataque rápido;Recuperación;Ataque rápido;;
40;Épico;Finta de colocador;Colocación;Ataque poderoso;Bloqueo;;
41;Épico;Finta de colocador;Colocación;Recuperación;Recepción;;
42;Épico;Finta de colocador;Colocación;Recepción;Recuperación;Colocación;
43;Épico;Guardia contundente;Bloqueo;Ataque poderoso;Recepción;;
44;Épico;Saque preciso;Colocación;Percepción;Saque;Bloqueo;
45;Épico;Saque preciso;Colocación;Colocación;Colocación;;
46;Épico;Pase preciso;Colocación;Ataque poderoso;Colocación;Saque;
47;Épico;Poder vibrante;Ataque poderoso;Ataque rápido;Saque;;
48;Épico;Poder vibrante;Ataque poderoso;Bloqueo;Recuperación;;
49;Épico;Poder vibrante;Ataque poderoso;Ataque poderoso;Bloqueo;Saque;
50;Épico;Poder vibrante;Ataque poderoso;Saque;Recepción;;
51;Épico;Incremento de poder;Ataque poderoso;Ataque rápido;Saque;Ataque poderoso;
52;Épico;Ataque veloz;Ataque rápido;Bloqueo;Técnica defensiva;;
53;Épico;Ataque veloz;Ataque rápido;Ataque rápido;Ataque poderoso;Técnica ofensiva;
55;Épico;Bloque preciso;Bloqueo;Colocación;Bloqueo;;
56;Épico;Bloque preciso;Bloqueo;Saque;Colocación;Técnica defensiva;
57;Épico;Bloque preciso;Bloqueo;Saque;Ataque poderoso;;
59;Épico;Recepción de asistencia;Recepción;Recepción;Bloqueo;Recepción;
60;Épico;Recepción de asistencia;Recepción;Espíritu;Colocación;;
61;Épico;Recepción de asistencia;Recepción;Recuperación;Recuperación;;
62;Épico;Recepción de asistencia;Recepción;Recepción;Recuperación;Bloqueo;
63;Épico;Recepción de asistencia;Recepción;Técnica ofensiva;Ataque poderoso;;
64;Épico;Recepción suprema;Recepción;Recuperación;Recuperación;;
65;Épico;Opt. de percepción;Ataque rápido;Bloqueo;Colocación;;
66;Épico;Opt. de percepción;Ataque rápido;Ataque poderoso;Recuperación;;
67;Épico;Opt. de percepción;Ataque rápido;Recepción;Ataque poderoso;;
68;Épico;Opt. de percepción;Ataque rápido;Saque;Recepción;Ataque rápido;
69;Épico;Opt. de percepción;Ataque rápido;Colocación;Recepción;Reflejos;
70;Épico;Finta de colocador;Colocación;Recepción;Saque;Bloqueo;
71;Épico;Finta de colocador;Colocación;Colocación;Ataque poderoso;;
72;Épico;Finta de colocador;Colocación;Saque;Reflejos;;
73;Épico;Guardia contundente;Bloqueo;Ataque rápido;Colocación;;
74;Épico;Guardia contundente;Bloqueo;Recuperación;Colocación;;
75;Épico;Guardia contundente;Bloqueo;Fuerza;Saque;;
76;Épico;Guardia contundente;Bloqueo;Bloqueo;Reflejos;;
77;Épico;Guardia contundente;Bloqueo;Percepción;Bloqueo;;
78;Épico;Opt. de estado;Ataque poderoso;Bloqueo;Recepción;;
79;Legendario;Potenciación de la moral;Ataque poderoso;Bloqueo;Saque;Ataque poderoso;
80;Legendario;Potenciación de la moral;Ataque poderoso;Recuperación;Colocación;Técnica defensiva;
81;Legendario;Guardia contundente;Bloqueo;Ataque rápido;Bloqueo;Ataque poderoso;Ataque poderoso
82;Épico;Opt. de percepción;Ataque rápido;Recuperación;Ataque rápido;;
83;Épico;Opt. de percepción;Ataque rápido;Ataque poderoso;Colocación;Ataque rápido;
84;Épico;Opt. de percepción;Ataque rápido;Recuperación;Colocación;Bloqueo;
85;Épico;Finta de colocador;Colocación;Ataque poderoso;Bloqueo;;
86;Épico;Finta de colocador;Colocación;Recepción;Técnica ofensiva;Saque;
87;Épico;Finta de colocador;Colocación;Recuperación;Bloqueo;;
88;Épico;Finta de colocador;Colocación;Recuperación;Bloqueo;;
89;Épico;Guardia contundente;Bloqueo;Ataque poderoso;Ataque rápido;;
90;Épico;Opt. de estado;Ataque poderoso;Percepción;Recuperación;;
91;Legendario;Movimiento de bloqueo;Bloqueo;Saque;Saque;Colocación;
92;Legendario;Recepción suprema;Recepción;Bloqueo;Colocación;Fuerza;
93;Legendario;Opt. de percepción;Ataque rápido;Técnica ofensiva;Recuperación;Bloqueo;
94;Épico;Finta de colocador;Colocación;Ataque rápido;Ataque poderoso;Percepción;
95;Épico;Finta de colocador;Colocación;Colocación;Saque;;
96;Épico;Opt. de estado;Ataque poderoso;Ataque poderoso;Saque;;
97;Épico;Opt. de estado;Ataque poderoso;Técnica ofensiva;Reflejos;;
98;Épico;Opt. de estado;Ataque poderoso;Colocación;Técnica defensiva;;
99;Legendario;Poder vibrante;Ataque poderoso;Colocación;Colocación;Bloqueo;Recuperación
100;Épico;Opt. de percepción;Ataque rápido;Fuerza;Colocación;;
101;Épico;Finta de colocador;Colocación;Reflejos;Ataque poderoso;;
102;Épico;Finta de colocador;Colocación;Ataque poderoso;Bloqueo;;
103;Épico;Finta de colocador;Colocación;Bloqueo;Técnica ofensiva;;
104;Épico;Finta de colocador;Colocación;Saque;Recuperación;;
105;Épico;Guardia contundente;Bloqueo;Ataque poderoso;Bloqueo;;
106;Épico;Guardia contundente;Bloqueo;Bloqueo;Colocación;;
107;Épico;Guardia contundente;Bloqueo;Recepción;Ataque rápido;;
108;Épico;Finta de colocador;Colocación;Ataque rápido;Colocación;;
109;Legendario;Poder vibrante;Ataque poderoso;Ataque rápido;Recuperación;Ataque poderoso;
110;Legendario;Sentido agudo;Ataque rápido;Recuperación;Percepción;Colocación;
111;Legendario;Bloque preciso;Bloqueo;Recuperación;Bloqueo;Colocación;
113;Legendario;Recepción suprema;Recepción;Bloqueo;Ataque rápido;Técnica ofensiva;
114;Épico;Recepción suprema;Recepción;Espíritu;Ataque rápido;;
115;Legendario;Potenciación de la moral;Ataque poderoso;Ataque poderoso;Saque;Colocación;
116;Épico;Opt. de percepción;Ataque rápido;Recuperación;Ataque poderoso;;
117;Épico;Opt. de percepción;Ataque rápido;Ataque rápido;Reflejos;;
119;Legendario;Guardia contundente;Bloqueo;Colocación;Ataque poderoso;Ataque rápido;Bloqueo
120;Épico;Guardia contundente;Bloqueo;Técnica defensiva;Recepción;;
121;Épico;Opt. de estado;Ataque poderoso;Fuerza;Recepción;;
122;Legendario;Bloque preciso;Bloqueo;Bloqueo;Saque;Percepción;
123;Legendario;Potenciación de la moral;Ataque poderoso;Ataque rápido;Colocación;Bloqueo;
124;Legendario;Potenciación de la moral;Ataque poderoso;Ataque poderoso;Recepción;Saque;
125;Legendario;Potenciación de la moral;Ataque poderoso;Bloqueo;Percepción;Colocación;
126;Legendario;Guardia contundente;Bloqueo;Ataque poderoso;Bloqueo;Recepción;
127;Legendario;Guardia contundente;Bloqueo;Recuperación;Recepción;Bloqueo;
128;Épico;Pase preciso;Colocación;Recuperación;Recepción;;
129;Épico;Incremento de poder;Ataque poderoso;Recuperación;Recepción;Técnica ofensiva;
130;Épico;Incremento de poder;Ataque poderoso;Recepción;Bloqueo;Técnica ofensiva;
131;Épico;Recepción suprema;Colocación;Saque;;;
132;Épico;Opt. de percepción;Ataque rápido;Recuperación;Ataque rápido;;
133;Épico;Opt. de percepción;Ataque rápido;Recepción;Técnica ofensiva;;
134;Épico;Opt. de percepción;Ataque rápido;Ataque poderoso;Recuperación;Bloqueo;
135;Épico;Opt. de percepción;Ataque rápido;Bloqueo;Ataque poderoso;Colocación;
136;Épico;Opt. de percepción;Ataque rápido;Ataque poderoso;Saque;;
137;Épico;Opt. de percepción;Ataque rápido;Espíritu;Ataque poderoso;;
138;Épico;Opt. de percepción;Ataque rápido;Bloqueo;Colocación;;
139;Épico;Opt. de percepción;Ataque rápido;Fuerza;Bloqueo;;
140;Épico;Opt. de percepción;Ataque rápido;Recuperación;Bloqueo;;
141;Épico;Opt. de percepción;Ataque rápido;Recuperación;Saque;;
142;Épico;Opt. de percepción;Ataque rápido;Recuperación;Reflejos;;
143;Épico;Opt. de percepción;Ataque rápido;Fuerza;Bloqueo;;
144;Épico;Finta de colocador;Colocación;Bloqueo;Ataque rápido;;
145;Épico;Finta de colocador;Colocación;Recuperación;Ataque rápido;;
146;Épico;Finta de colocador;Colocación;Percepción;Fuerza;Saque;
147;Épico;Finta de colocador;Colocación;Fuerza;Recepción;;
148;Épico;Finta de colocador;Colocación;Bloqueo;Fuerza;;
149;Épico;Finta de colocador;Colocación;Espíritu;Fuerza;Bloqueo;
150;Épico;Finta de colocador;Colocación;Saque;Saque;;
151;Épico;Finta de colocador;Colocación;Fuerza;Saque;;
152;Épico;Finta de colocador;Colocación;Recuperación;Colocación;Técnica defensiva;
153;Épico;Finta de colocador;Colocación;Ataque poderoso;Saque;Recuperación;
154;Épico;Finta de colocador;Colocación;Ataque poderoso;Colocación;;
155;Épico;Finta de colocador;Colocación;Saque;Ataque poderoso;;
156;Épico;Finta de colocador;Colocación;Bloqueo;Saque;Bloqueo;
157;Épico;Finta de colocador;Colocación;Ataque poderoso;Ataque rápido;;
158;Épico;Finta de colocador;Colocación;Ataque poderoso;Reflejos;;
159;Épico;Finta de colocador;Colocación;Recuperación;Recepción;Colocación;
160;Épico;Finta de colocador;Colocación;Recuperación;Saque;;
161;Épico;Guardia contundente;Bloqueo;Colocación;Técnica ofensiva;;
162;Épico;Guardia contundente;Bloqueo;Saque;Ataque poderoso;;
163;Épico;Guardia contundente;Bloqueo;Recepción;Ataque poderoso;;
164;Épico;Guardia contundente;Bloqueo;Recepción;Ataque rápido;Colocación;
165;Épico;Guardia contundente;Bloqueo;Colocación;Espíritu;;
166;Épico;Guardia contundente;Bloqueo;Ataque poderoso;Ataque rápido;Recuperación;
167;Épico;Opt. de estado;Ataque poderoso;Bloqueo;Colocación;Recepción;
168;Épico;Opt. de estado;Ataque poderoso;Recepción;Recuperación; ;
169;Épico;Opt. de estado;Ataque poderoso;Ataque poderoso;Bloqueo;;
170;Épico;Opt. de estado;Ataque poderoso;Recepción;Saque;Reflejos;
171;Épico;Opt. de estado;Ataque poderoso;Recepción;Ataque poderoso;Bloqueo;
172;Épico;Opt. de estado;Ataque poderoso;Recepción;Ataque poderoso;;
173;Épico;Opt. de estado;Ataque poderoso;Saque;Ataque rápido;;
174;Épico;Opt. de estado;Ataque poderoso;Saque;Ataque rápido;;
175;Épico;Opt. de estado;Ataque poderoso;Saque;Fuerza;;
176;Épico;Opt. de estado;Ataque poderoso;Ataque poderoso;Colocación;;
177;Épico;Opt. de percepción;Ataque rápido;Recuperación;Bloqueo;;
178;Legendario;Opt. de estado;Ataque poderoso;Recepción;Espíritu;Técnica defensiva;
179;Épico;Opt. de percepción;Ataque rápido;Colocación;Recuperación;;
180;Épico;Finta de colocador;Colocación;Recepción;Saque;Colocación;
181;Épico;Finta de colocador;Colocación;Ataque poderoso;Colocación;;
182;Épico;Guardia contundente;Bloqueo;Colocación;Fuerza;Recepción;
183;Épico;Guardia contundente;Bloqueo;Ataque rápido;Colocación;Ataque poderoso;
184;Épico;Opt. de estado;Ataque poderoso;Percepción;Recuperación;;
185;Épico;Opt. de percepción;Recepción;Recepción;;;
186;Épico;Opt. de percepción;Ataque rápido;Fuerza;Reflejos;;
187;Épico;Opt. de percepción;Ataque rápido;Fuerza;Bloqueo;;
188;Épico;Finta de colocador;Colocación;Bloqueo;Ataque rápido;;
189;Épico;Guardia contundente;Bloqueo;Recepción;Colocación;Técnica defensiva;
190;Épico;Guardia contundente;Bloqueo;Bloqueo;Ataque rápido;;
191;Épico;Opt. de estado;Ataque poderoso;Bloqueo;Técnica ofensiva;;
192;Épico;Opt. de estado;Ataque poderoso;Bloqueo;Colocación;Recepción;
193;Legendario;Guardia contundente;Bloqueo;Recuperación;Espíritu;Bloqueo;
194;Legendario;Recepción de asistencia;Recepción;Bloqueo;Colocación;Reflejos;
195;Épico;Saque preciso;Colocación;Recuperación;Ataque poderoso;;
196;Épico;Saque preciso;Colocación;Bloqueo;Ataque rápido;;
197;Épico;Poder vibrante;Ataque poderoso;Recepción;Ataque poderoso;;
198;Épico;Poder vibrante;Ataque poderoso;Fuerza;Bloqueo;;
199;Épico;Poder vibrante;Ataque poderoso;Recuperación;Recuperación;;
200;Épico;Poder vibrante;Ataque poderoso;Técnica defensiva;Saque;;
201;Épico;Poder vibrante;Ataque poderoso;Recepción;Ataque rápido;;
202;Épico;Poder vibrante;Ataque poderoso;Bloqueo;Ataque poderoso;;
203;Épico;Ataque veloz;Ataque rápido;Recepción;Colocación;Bloqueo;
204;Épico;Ataque veloz;Ataque rápido;Bloqueo;Bloqueo;Colocación;
205;Épico;Bloque preciso;Bloqueo;Recepción;Fuerza;Colocación;
