ID;Calidad;Tipo;Main Stat;Substat1;Substat2;Substat3;Substat4
2;Legendario;Incremento de poder;Saque;Percepción;Saque;Ataque poderoso;Bloqueo
3;Legendario;Poder vibrante;Saque;Técnica defensiva;Colocación;Recepción;Ataque poderoso
4;Legendario;Poder vibrante;Saque;Técnica ofensiva;Colocación;Saque;Ataque rápido
6;Legendario;Incremento de poder;Saque;Recepción;Ataque poderoso;Recepción;Técnica defensiva
8;Épico;Poder vibrante;Saque;Saque;Fuerza;Bloqueo;Recepción
9;Épico;Incremento de poder;Saque;Técnica ofensiva;Ataque poderoso;Fuerza;Reflejos
18;Épico;Poder vibrante;Saque;Fuerza;Ataque rápido;Ataque poderoso;
37;Legendario;Saque preciso;Saque;Colocación;Reflejos;Saque;Colocación
38;Legendario;Pase preciso;Saque;Ataque poderoso;Saque;Recepción;
47;Épico;Saque preciso;Saque;Saque;Recuperación;Colocación;
67;Épico;Pase preciso;Saque;Saque;Colocación;Recuperación;
73;Legendario;Ataque veloz;Saque;Ataque rápido;Ataque poderoso;Colocación;
75;Legendario;Sentido agudo;Saque;Ataque rápido;Espíritu;Saque;Técnica ofensiva
76;Legendario;Sentido agudo;Saque;Ataque rápido;Técnica defensiva;Recuperación;
77;Legendario;Movimiento de bloqueo;Saque;Bloqueo;Colocación;Recepción;Ataque poderoso
78;Legendario;Movimiento de bloqueo;Saque;Recepción;Ataque poderoso;Bloqueo;
102;Épico;Bloque preciso;Saque;Recuperación;Bloqueo;Saque;
105;Épico;Bloque preciso;Saque;Reflejos;Saque;Bloqueo;
119;Épico;Movimiento de bloqueo;Saque;Ataque rápido;Bloqueo;Colocación;Colocación
120;Legendario;Recepción de asistencia;Saque;Saque;Fuerza;Bloqueo;Ataque poderoso
121;Legendario;Recepción suprema;Saque;Recepción;Saque;Ataque rápido;
122;Legendario;Recepción suprema;Saque;Recepción;Colocación;Ataque poderoso;Técnica ofensiva
137;Épico;Recepción de asistencia;Saque;Ataque poderoso;Ataque poderoso;;
138;Épico;Recepción de asistencia;Saque;Recuperación;Colocación;Técnica defensiva;
152;Épico;Recepción suprema;Saque;Recuperación;Bloqueo;Espíritu;
160;Épico;Recepción suprema;Saque;Recuperación;Espíritu;Recepción;
161;Legendario;Ataque veloz;Saque;Bloqueo;Recepción;Ataque rápido;
162;Legendario;Sentido agudo;Saque;Ataque rápido;Espíritu;Ataque poderoso;Recepción
163;Épico;Saque preciso;Saque;Recepción;Saque;;
164;Épico;Poder vibrante;Saque;Fuerza;Ataque poderoso;Recepción;
165;Épico;Poder vibrante;Saque;Percepción;Técnica defensiva;Saque;
167;Épico;Bloque preciso;Saque;Bloqueo;Bloqueo;;
169;Épico;Bloque preciso;Saque;Bloqueo;Colocación;;
170;Épico;Bloque preciso;Saque;Colocación;Saque;;
171;Épico;Recepción de asistencia;Saque;Colocación;Reflejos;;
172;Épico;Recepción de asistencia;Saque;Saque;Colocación;;
173;Épico;Pase preciso;Saque;Saque;Ataque poderoso;;
174;Épico;Pase preciso;Saque;Técnica ofensiva;Saque;;
175;Épico;Incremento de poder;Saque;Recuperación;Fuerza;;
